"SURVEY_YEAR","NUM_MALE_LE119","CV_NUM_MALE_LE119","CI_NUM_MALE_LE119","NUM_MALE_GE120","CV_NUM_MALE_GE120","CI_NUM_MALE_GE120","NUM_MALE_GE135","CV_NUM_MALE_GE135","CI_NUM_MALE_GE135","NUM_MALE_TOTAL","CV_NUM_MALE_TOTAL","CI_NUM_MALE_TOTAL","NUM_IMMATURE_FEMALE","CV_NUM_IMMATURE_FEMALE","CI_NUM_IMMATURE_FEMALE","NUM_MATURE_FEMALE","CV_NUM_MATURE_FEMALE","CI_NUM_MATURE_FEMALE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
1998,217460.7939498474064402725091444016656299,0.3509642866850909897443653152683283002758,149589.1059639402209211986430293866642843,151673.7373298151201127716995497426539233,0.3732594091244972171099282281927907584087,110962.7531678447365168115375564385234787,151673.7373298151201127716995497426539233,0.3732594091244972171099282281927907584087,110962.7531678447365168115375564385234787,369134.5312796625265530442086941443195528,0.2451180516529334967536576304621117715667,177343.812725975840865645999445565643629,128096.787776290327538563888023298247102,0.5741217832081540036987595524463765742777,144144.5861938661237290117316335188860081,214059.4045754130687960105935330512258038,0.34662189452834699345654388709189248841,145427.4456568575896712081640448316342428,,,
1999,62522.5654212041359686004328378085224519,0.6741999155811284552811431275976490319632,82619.3083246271626809901585883566378737,216415.4794293398184286361045854857031399,0.2553669468380448654167449758578599990621,108320.1060515099385791224297991594981849,94578.7938968709198274412529440807912763,0.5222442757549153279893661854237827625334,96810.7380920717286383459087135749861913,278938.044850543954397236537423294225591,0.2406169748748079645259278459752997576644,131549.7679176855279389826164202048138157,124036.3317544134990031775507792199996443,0.5766608961802442614182793021427943140656,140192.7283676839474997178204372505213585,312189.489354646598068304365348446011933,0.2461468589502926648098159747668971189203,150615.1459158064955755157707772151827665,,,
2000,130814.1143836306310442383300974888560649,0.4334518136776789466890820603027351987371,111135.1656630791297602052613791314421227,309289.9744548564442293370673875530491167,0.2626272224696992443799285973242699054855,159206.8151804542321188651415053706139409,246095.0616052106757574657217703462604458,0.2951686177430696986940856123506772635387,142373.4967681150121307437194996496921696,440104.0888384870752735753974850419051821,0.1656587124893589851319507649997951378608,142897.8703678410209623873072200421427263,66857.5647085836790981342910251260402232,0.6773709121411236509920455843201110209704,88763.2443967675481515764251976352987591,270307.0848733464749595878041224329746349,0.3415693952923648274062457002072882994429,180964.1099459245469343003952336639587246,,,
2001,32777.5330262772474399603199400619853273,1,64243.9647315034049823222270825214912415,166278.9230683123837135068252539654959439,0.366586874325870508783022595720589597231,119473.1145208136640239265352595820580719,98861.177220516508167222908661537932163,0.5280930011128446777152945278562940526442,102327.4757129854641301441734675073045861,199056.4560945896311534671451940274812711,0.312988697114596715635909872231428591475,122112.7448567772856580359925287063160147,73309.0525715409373538295695794143431045,0.6850378102510815148645684623335788589811,98430.1667765720472454002447500794180775,234623.1421117595617458008790686308043658,0.2689588676382521470272019472474890959496,123683.7902632508240653853737370591671104,,,
2002,154185.0298991052707870991945361146929873,0.464602845823546152607632655740620316007,140404.2152020452054535539514118679086664,276628.429165767667518052076421251788874,0.3140662770513032814876504247768841062071,170284.135314299914172558926652400699888,276628.429165767667518052076421251788874,0.3140662770513032814876504247768841062074,170284.1353142999141725589266524006998882,430813.4590648729383051512709573664818613,0.2369770135641985938438135684533070035334,200102.0583876131915166582136847746675175,30441.1920100819166936603262706878413253,1,59664.7363397605567195742394905481689976,182562.9376809939655317091420847020629414,0.3205493527128447218167921359648278749752,114700.0457458761287890338381276162406775,,,
2003,182130.9508578224904091095547777578448701,0.4838720204560322679327366435833766515651,172731.0195111396679596051243663915592159,278190.1886448520807919694420833503492409,0.2364837990847946669565007621223501746833,128943.446450546639460674580654617116366,247355.9104160257454228536717291627297326,0.2660435258464889683747433944923533584571,128982.5795502536002557111402626791831779,460321.1395026745712010789968611081941109,0.1920365239368224554030061618057920658705,173261.0041884722779120818829507576640501,59354.6143237303476311163207489611171742,0.6846817082389519598176471491232675494592,79652.4767049902870981895713855643427178,199468.8207093389363293932908115042250897,0.3576050580564850617160241160534658217415,139808.8760520346498272042858053695456574,,,
2004,470410.5177865770189512582297920285200918,0.1935983088732367828554306120757023372057,178498.5342105433669817525129303633581161,118211.3174374296230959830525336918868723,0.451066125024363517615702239786950044349,104509.3969454316529871604185082744210679,118211.3174374296230959830525336918868719,0.4510661250243635176157022397869500443505,104509.3969454316529871604185082744210679,588621.8352240066420472412823257204069645,0.1803434301178107865924588779967271992169,208061.998380814828062324564823540129575,231974.2375977130579919479947409564249621,0.3193278091534126867676574502240406187056,145188.6171413374135292054727871029460907,120142.0429017719437081266581185911836654,0.4507626721229970007277131040238584761033,106144.8746537281930047048087740202416692,,,
2005,364688.5350151542462713970256578408958809,0.3650328894318592524299988492782156824298,260921.6869713369215410629521573952710654,364011.3400224215870663035511613358228447,0.1833726517279204061126251302238871222639,130829.4603707324515046468849500410601696,210148.6500001471744197993291929494828019,0.2866509118574929620448208379904524836698,118069.0322104001190381215109991589972984,728699.875037575833337700576819176718724,0.2104012810097753054192390208724301266711,300505.9988719555189204427058462561415828,63943.414508298618976919428864451224844,0.681430085731276271082102738728101102688,85403.0142034673071991528966260507376646,188788.2264328130875654814351698943781367,0.4790712287988063615762798404111165047817,177268.2949350335207746139678980150502869,,,
2006,394694.238544837618356988203756729854603,0.2912107166550006404414928802331196161921,225280.8164498342023429821953190238006934,506770.5688831949769716356103144479701976,0.2099823966155032851336754960212234828721,208569.2812330587396984204539062713241714,328498.2262495030167680461633756193085951,0.2884853664428346376811848732458384772464,185743.1851038017930966672141522311223606,901464.8074280325953286238140711778248002,0.1844078328431826940665558750080473768915,325824.8561835130032519550236258320913712,60125.9688026995444749017481257367501345,0.6909632073559815979328819440366193397662,81427.871208625973280551077211443229945,596055.0224917261877485482397986837360237,0.1939875977043131966214304338545945132928,226629.4725490102542415672787366741060198,,,
2007,282411.2521086867123468294189523274701778,0.4002498703467158583067116812892485787521,221548.7314002728626294493521423985460502,649549.1101464868616907340855749851817797,0.156311936988145043113566961350479134545,199003.267968809743263063498493611149397,464109.0734287484610171202851706027402687,0.1720872809080802487129383732016158177537,156539.8462425988834078738260759077649769,931960.362255173574037563504527312651955,0.1602253680768536247754907992298983073963,292674.4364677311344692495549948179192484,94723.716426662120929321249796412273765,0.5424171886228269707141692669812395021458,100704.3530417096839861125106758700230163,622140.3053875611745588605182306373597495,0.2318291479264605063944849204388719459002,282691.3035018642184167131857477900158888,,,
